region_code,name,lawd_code
500007,서울,11000000
500009,대구,27000000
500010,인천,28000000
500011,광주,29000000
500012,대전,30000000
500013,울산,31000000
500014,세종,36110000
500015,경기,41000000
500016,강원,51000000
500017,충북,43000000
500018,충남,44000000
500019,전북,52000000
500020,전남,46000000
500021,경북,47000000
500022,경남,48000000
500023,제주,50000000
510008,종로구,11110000
510009,중구,11140000
510010,용산구,11170000
510011,성동구,11200000
510012,광진구,11215000
510013,동대문구,11230000
510014,중랑구,11260000
510015,성북구,11290000
510016,강북구,11305000
510017,도봉구,11320000
510018,노원구,11350000
510019,은평구,11380000
510020,서대문구,11410000
510021,마포구,11440000
510022,양천구,11470000
510023,강서구,11500000
510024,구로구,11530000
510025,금천구,11545000
510026,영등포구,11560000
510027,동작구,11590000
510028,관악구,11620000
510029,서초구,11650000
510030,강남구,11680000
510031,송파구,11710000
510032,강동구,11740000
510034,중구,26110000
510035,서구,26140000
510036,동구,26170000
510037,영도구,26200000
510038,부산진구,26230000
510039,동래구,26260000
510040,남구,26290000
510041,북구,26320000
510042,해운대구,26350000
510043,사하구,26380000
510044,금정구,26410000
510045,강서구,26440000
510046,연제구,26470000
510047,수영구,26500000
510048,사상구,26530000
510049,기장군,26710000
510051,중구,27110000
510052,동구,27140000
510053,서구,27170000
510054,남구,27200000
510055,북구,27230000
510056,수성구,27260000
510057,달서구,27290000
510058,달성군,27710000
510059,군위군,27720000
510061,중구,28110000
510062,동구,28140000
510063,남구,28170000
510064,미추홀구,28177000
510065,연수구,28185000
510066,남동구,28200000
510067,부평구,28237000
510068,계양구,28245000
510069,서구,28260000
510070,강화군,28710000
510071,옹진군,28720000
510073,동구,29110000
510074,서구,29140000
510075,남구,29155000
510076,북구,29170000
510077,광산구,29200000
510079,동구,30110000
510080,중구,30140000
510081,서구,30170000
510082,유성구,30200000
510083,대덕구,30230000
510085,중구,31110000
510086,남구,31140000
510087,동구,31170000
510088,북구,31200000
510089,울주군,31710000
510093,시지역,1001010
510094,군지역,1001020
510095,수원시,41110000
510096,성남시,41130000
510097,의정부시,41150000
510098,안양시,41170000
510099,부천시,41190000
510100,광명시,41210000
510101,평택시,41220000
510102,동두천시,41250000
510103,안산시,41270000
510104,고양시,41280000
510105,과천시,41290000
510106,구리시,41310000
510107,남양주시,41360000
510108,오산시,41370000
510109,시흥시,41390000
510110,군포시,41410000
510111,의왕시,41430000
510112,하남시,41450000
510113,용인시,41460000
510114,파주시,41480000
510115,이천시,41500000
510116,안성시,41550000
510117,김포시,41570000
510118,화성시,41590000
510119,광주시,41610000
510120,양주시,41630000
510121,포천시,41650000
510122,여주시,41670000
510123,연천군,41800000
510124,가평군,41820000
510125,양평군,41830000
510127,시지역,1001030
510128,군지역,1001040
510129,춘천시,51110000
510130,원주시,51130000
510131,강릉시,51150000
510132,동해시,51170000
510133,태백시,51190000
510134,속초시,51210000
510135,삼척시,51230000
510136,홍천군,51720000
510137,횡성군,51730000
510138,영월군,51750000
510139,평창군,51760000
510140,정선군,51770000
510141,철원군,51780000
510142,화천군,51790000
510143,양구군,51800000
510144,인제군,51810000
510145,고성군,51820000
510146,양양군,51830000
510148,시지역,1001050
510149,군지역,1001060
510150,청주시,43110000
510151,충주시,43130000
510152,제천시,43150000
510153,보은군,43720000
510154,옥천군,43730000
510155,영동군,43740000
510156,증평군,43745000
510157,진천군,43750000
510158,괴산군,43760000
510159,음성군,43770000
510160,단양군,43800000
510162,시지역,1001070
510163,군지역,1001080
510164,천안시,44130000
510165,공주시,44150000
510166,보령시,44180000
510167,아산시,44200000
510168,서산시,44210000
510169,논산시,44230000
510170,계룡시,44250000
510171,당진시,44270000
510172,금산군,44710000
510173,부여군,44760000
510174,서천군,44770000
510175,청양군,44790000
510176,홍성군,44800000
510177,예산군,44810000
510178,태안군,44825000
510180,시지역,1001090
510181,군지역,1001100
510182,전주시,52110000
510183,군산시,52130000
510184,익산시,52140000
510185,정읍시,52180000
510186,남원시,52190000
510187,김제시,52210000
510188,완주군,52710000
510189,진안군,52720000
510190,무주군,52730000
510191,장수군,52740000
510192,임실군,52750000
510193,순창군,52770000
510194,고창군,52790000
510195,부안군,52800000
510197,시지역,1001110
510198,군지역,1001120
510199,목포시,46110000
510200,여수시,46130000
510201,순천시,46150000
510202,나주시,46170000
510203,광양시,46230000
510204,담양군,46710000
510205,곡성군,46720000
510206,구례군,46730000
510207,고흥군,46770000
510208,보성군,46780000
510209,화순군,46790000
510210,장흥군,46800000
510211,강진군,46810000
510212,해남군,46820000
510213,영암군,46830000
510214,무안군,46840000
510215,함평군,46860000
510216,영광군,46870000
510217,장성군,46880000
510218,완도군,46890000
510219,진도군,46900000
510220,신안군,46910000
510222,시지역,1001130
510223,군지역,1001140
510224,포항시,47110000
510225,경주시,47130000
510226,김천시,47150000
510227,안동시,47170000
510228,구미시,47190000
510229,영주시,47210000
510230,영천시,47230000
510231,상주시,47250000
510232,문경시,47280000
510233,경산시,47290000
510235,의성군,47730000
510236,청송군,47750000
510237,영양군,47760000
510238,영덕군,47770000
510239,청도군,47820000
510240,고령군,47830000
510241,성주군,47840000
510242,칠곡군,47850000
510243,예천군,47900000
510244,봉화군,47920000
510245,울진군,47930000
510246,울릉군,47940000
510248,시지역,1001150
510249,군지역,1001160
510250,창원시,48120000
510251,진주시,48170000
510252,통영시,48220000
510253,사천시,48240000
510254,김해시,48250000
510255,밀양시,48270000
510256,거제시,48310000
510257,양산시,48330000
510258,의령군,48720000
510259,함안군,48730000
510260,창녕군,48740000
510261,고성군,48820000
510262,남해군,48840000
510263,하동군,48850000
510264,산청군,48860000
510265,함양군,48870000
510266,거창군,48880000
510267,합천군,48890000
510269,시지역,1001170
510270,제주시,50110000
510271,서귀포시,50130000
520096,장안구,41111000
520097,권선구,41113000
520098,팔달구,41115000
520099,영통구,41117000
520101,수정구,41131000
520102,중원구,41133000
520103,분당구,41135000
520106,만안구,41171000
520107,동안구,41173000
520109,원미구,41192000
520110,소사구,41194000
520111,오정구,41196000
520116,상록구,41271000
520117,단원구,41273000
520119,덕양구,41281000
520120,일산동구,41285000
520121,일산서구,41287000
520131,처인구,41461000
520132,기흥구,41463000
520133,수지구,41465000
520171,상당구,43111000
520172,서원구,43112000
520173,흥덕구,43113000
520174,청원구,43114000
520189,동남구,44131000
520190,서북구,44133000
520209,완산구,52111000
520210,덕진구,52113000
520253,남구,47111000
520254,북구,47113000
520281,의창구,48121000
520282,성산구,48123000
520283,마산합포구,48125000
520284,마산회원구,48127000
520285,진해구,48129000
530009,청운동,11110101
530010,신교동,11110102
530011,궁정동,11110103
530012,효자동,11110104
530013,창성동,11110105
530014,통의동,11110106
530015,적선동,11110107
530016,통인동,11110108
530017,누상동,11110109
530018,누하동,11110110
530019,옥인동,11110111
530020,체부동,11110112
530021,필운동,11110113
530022,내자동,11110114
530023,사직동,11110115
530024,도렴동,11110116
530025,당주동,11110117
530026,내수동,11110118
530027,세종로,11110119
530028,신문로1가,11110120
530029,신문로2가,11110121
530030,청진동,11110122
530031,서린동,11110123
530032,수송동,11110124
530033,중학동,11110125
530034,종로1가,11110126
