region_code,full_name,name_depth,code_depth,children_count,has_children
500007,서울,1,1,25,1
500009,대구,1,1,9,1
500010,인천,1,1,11,1
500011,광주,1,1,5,1
500012,대전,1,1,5,1
500013,울산,1,1,5,1
500014,세종,1,1,33,1
500015,경기,1,1,33,1
500016,강원,1,1,20,1
500017,충북,1,1,13,1
500018,충남,1,1,17,1
500019,전북,1,1,16,1
500020,전남,1,1,24,1
500021,경북,1,1,24,1
500022,경남,1,1,20,1
500023,제주,1,1,3,1
510008,서울>종로구,2,2,87,1
510009,서울>중구,2,2,74,1
510010,서울>용산구,2,2,36,1
510011,서울>성동구,2,2,17,1
510012,서울>광진구,2,2,7,1
510013,서울>동대문구,2,2,10,1
510014,서울>중랑구,2,2,6,1
510015,서울>성북구,2,2,39,1
510016,서울>강북구,2,2,4,1
510017,서울>도봉구,2,2,4,1
510018,서울>노원구,2,2,5,1
510019,서울>은평구,2,2,11,1
510020,서울>서대문구,2,2,20,1
510021,서울>마포구,2,2,26,1
510022,서울>양천구,2,2,3,1
510023,서울>강서구,2,2,13,1
510024,서울>구로구,2,2,10,1
510025,서울>금천구,2,2,3,1
510026,서울>영등포구,2,2,34,1
510027,서울>동작구,2,2,9,1
510028,서울>관악구,2,2,3,1
510029,서울>서초구,2,2,10,1
510030,서울>강남구,2,2,14,1
510031,서울>송파구,2,2,13,1
510032,서울>강동구,2,2,9,1
510034,부산>중구,2,2,41,1
510035,부산>서구,2,2,24,1
510036,부산>동구,2,2,4,1
510037,부산>영도구,2,2,21,1
510038,부산>부산진구,2,2,11,1
510039,부산>동래구,2,2,9,1
510040,부산>남구,2,2,6,1
510041,부산>북구,2,2,5,1
510042,부산>해운대구,2,2,8,1
510043,부산>사하구,2,2,8,1
510044,부산>금정구,2,2,13,1
510045,부산>강서구,2,2,22,1
510046,부산>연제구,2,2,2,1
510047,부산>수영구,2,2,5,1
510048,부산>사상구,2,2,8,1
510049,부산>기장군,2,2,7,1
510051,대구>중구,2,2,57,1
510052,대구>동구,2,2,45,1
510053,대구>서구,2,2,9,1
510054,대구>남구,2,2,3,1
510055,대구>북구,2,2,31,1
510056,대구>수성구,2,2,26,1
510057,대구>달서구,2,2,24,1
510058,대구>달성군,2,2,12,1
510059,대구>군위군,2,2,8,1
510061,인천>중구,2,2,52,1
510062,인천>동구,2,2,7,1
510063,인천>남구,2,2,7,1
510064,인천>미추홀구,2,2,7,1
510065,인천>연수구,2,2,6,1
510066,인천>남동구,2,2,11,1
510067,인천>부평구,2,2,9,1
510068,인천>계양구,2,2,23,1
510069,인천>서구,2,2,21,1
510070,인천>강화군,2,2,13,1
510071,인천>옹진군,2,2,7,1
510073,광주>동구,2,2,34,1
510074,광주>서구,2,2,18,1
