region_code,parent_code
500007,0
500009,0
500010,0
500011,0
500012,0
500013,0
500014,0
500015,0
500016,0
500017,0
500018,0
500019,0
500020,0
500021,0
500022,0
500023,0
510008,500007
510009,500007
510010,500007
510011,500007
510012,500007
510013,500007
510014,500007
510015,500007
510016,500007
510017,500007
510018,500007
510019,500007
510020,500007
510021,500007
510022,500007
510023,500007
510024,500007
510025,500007
510026,500007
510027,500007
510028,500007
510029,500007
510030,500007
510031,500007
510032,500007
510034,530500
510035,530500
510036,530500
510037,530500
510038,530500
510039,530500
510040,530500
510041,530500
510042,530500
510043,530500
510044,530500
510045,530500
510046,530500
510047,530500
510048,530500
510049,530500
510051,500009
510052,500009
510053,500009
510054,500009
510055,500009
510056,500009
510057,500009
510058,500009
510059,500009
510061,500010
510062,500010
510063,500010
510064,500010
510065,500010
510066,500010
510067,500010
510068,500010
510069,500010
510070,500010
510071,500010
510073,500011
510074,500011
510075,500011
510076,500011
510077,500011
510079,500012
510080,500012
510081,500012
510082,500012
510083,500012
510085,500013
510086,500013
510087,500013
510088,500013
510089,500013
510093,500015
510094,500015
510095,500015
510096,500015
510097,500015
510098,500015
510099,500015
510100,500015
510101,500015
510102,500015
510103,500015
510104,500015
510105,500015
510106,500015
510107,500015
510108,500015
510109,500015
510110,500015
510111,500015
510112,500015
510113,500015
510114,500015
510115,500015
510116,500015
510117,500015
510118,500015
510119,500015
510120,500015
510121,500015
510122,500015
510123,500015
510124,500015
510125,500015
510127,500016
510128,500016
510129,500016
510130,500016
510131,500016
510132,500016
510133,500016
510134,500016
510135,500016
510136,500016
510137,500016
510138,500016
510139,500016
510140,500016
510141,500016
510142,500016
510143,500016
510144,500016
510145,500016
510146,500016
510148,500017
510149,500017
510150,500017
510151,500017
510152,500017
510153,500017
510154,500017
510155,500017
510156,500017
510157,500017
510158,500017
510159,500017
510160,500017
510162,500018
510163,500018
510164,500018
510165,500018
510166,500018
510167,500018
510168,500018
510169,500018
510170,500018
510171,500018
510172,500018
510173,500018
510174,500018
510175,500018
510176,500018
510177,500018
510178,500018
510180,500019
510181,500019
510182,500019
510183,500019
510184,500019
510185,500019
510186,500019
510187,500019
510188,500019
510189,500019
510190,500019
510191,500019
510192,500019
510193,500019
510194,500019
510195,500019
510197,500020
510198,500020
510199,500020
510200,500020
510201,500020
510202,500020
510203,500020
510204,500020
510205,500020
510206,500020
510207,500020
510208,500020
510209,500020
510210,500020
510211,500020
510212,500020
510213,500020
510214,500020
510215,500020
510216,500020
510217,500020
510218,500020
510219,500020
510220,500020
510222,500021
510223,500021
510224,500021
510225,500021
510226,500021
510227,500021
510228,500021
510229,500021
510230,500021
510231,500021
510232,500021
510233,500021
510235,500021
510236,500021
510237,500021
510238,500021
510239,500021
510240,500021
510241,500021
510242,500021
510243,500021
510244,500021
510245,500021
510246,500021
510248,500022
510249,500022
510250,500022
510251,500022
510252,500022
510253,500022
510254,500022
510255,500022
510256,500022
510257,500022
510258,500022
510259,500022
510260,500022
510261,500022
510262,500022
510263,500022
510264,500022
510265,500022
510266,500022
510267,500022
510269,500023
510270,500023
510271,500023
520096,510095
520097,510095
520098,510095
520099,510095
520101,510096
520102,510096
520103,510096
520106,510098
520107,510098
520109,510099
520110,510099
520111,510099
520116,510103
520117,510103
520119,510104
520120,510104
520121,510104
520131,510113
520132,510113
520133,510113
520171,510150
520172,510150
520173,510150
520174,510150
520189,510164
520190,510164
520209,510182
