region_code,name,extra_code,true_level,parent_code,child_count,min_child_level,max_child_level
500001,전국,1000010,0,0,0,0,0
500002,수도권,1000020,0,0,0,0,0
500003,지방,1000030,0,0,0,0,0
500004,대도시,1000090,0,0,0,0,0
500005,시지역,1000100,0,0,0,0,0
500006,군지역,1000110,0,0,0,0,0
500007,서울,11000000,0,0,25,1,1
500009,대구,27000000,0,0,9,1,1
500010,인천,28000000,0,0,11,1,1
500011,광주,29000000,0,0,5,1,1
500012,대전,30000000,0,0,5,1,1
500013,울산,31000000,0,0,5,1,1
500014,세종,36110000,0,0,33,1,1
500015,경기,41000000,0,0,33,1,1
500016,강원,51000000,0,0,20,1,1
500017,충북,43000000,0,0,13,1,1
500018,충남,44000000,0,0,17,1,1
500019,전북,52000000,0,0,16,1,1
500020,전남,46000000,0,0,24,1,1
500021,경북,47000000,0,0,25,1,1
500022,경남,48000000,0,0,20,1,1
500023,제주,50000000,0,0,3,1,1
530500,부산,26000000,0,0,16,1,1
510008,서울>종로구,11110000,1,500007,87,2,2
510009,서울>중구,11140000,1,500007,74,2,2
510010,서울>용산구,11170000,1,500007,36,2,2
510011,서울>성동구,11200000,1,500007,17,2,2
510012,서울>광진구,11215000,1,500007,7,2,2
510013,서울>동대문구,11230000,1,500007,10,2,2
510014,서울>중랑구,11260000,1,500007,6,2,2
510015,서울>성북구,11290000,1,500007,39,2,2
510016,서울>강북구,11305000,1,500007,4,2,2
510017,서울>도봉구,11320000,1,500007,4,2,2
510018,서울>노원구,11350000,1,500007,5,2,2
510019,서울>은평구,11380000,1,500007,11,2,2
510020,서울>서대문구,11410000,1,500007,20,2,2
510021,서울>마포구,11440000,1,500007,26,2,2
510022,서울>양천구,11470000,1,500007,3,2,2
510023,서울>강서구,11500000,1,500007,13,2,2
510024,서울>구로구,11530000,1,500007,10,2,2
510025,서울>금천구,11545000,1,500007,3,2,2
510026,서울>영등포구,11560000,1,500007,34,2,2
510027,서울>동작구,11590000,1,500007,9,2,2
510028,서울>관악구,11620000,1,500007,3,2,2
510029,서울>서초구,11650000,1,500007,10,2,2
510030,서울>강남구,11680000,1,500007,14,2,2
510031,서울>송파구,11710000,1,500007,13,2,2
510032,서울>강동구,11740000,1,500007,9,2,2
510034,부산>중구,26110000,1,530500,41,2,2
510035,부산>서구,26140000,1,530500,24,2,2
510036,부산>동구,26170000,1,530500,4,2,2
510037,부산>영도구,26200000,1,530500,21,2,2
510038,부산>부산진구,26230000,1,530500,11,2,2
510039,부산>동래구,26260000,1,530500,9,2,2
510040,부산>남구,26290000,1,530500,6,2,2
510041,부산>북구,26320000,1,530500,5,2,2
510042,부산>해운대구,26350000,1,530500,8,2,2
510043,부산>사하구,26380000,1,530500,8,2,2
510044,부산>금정구,26410000,1,530500,13,2,2
510045,부산>강서구,26440000,1,530500,22,2,2
510046,부산>연제구,26470000,1,530500,2,2,2
510047,부산>수영구,26500000,1,530500,5,2,2
510048,부산>사상구,26530000,1,530500,8,2,2
510049,부산>기장군,26710000,1,530500,7,2,2
510051,대구>중구,27110000,1,500009,57,2,2
510052,대구>동구,27140000,1,500009,45,2,2
510053,대구>서구,27170000,1,500009,9,2,2
510054,대구>남구,27200000,1,500009,3,2,2
510055,대구>북구,27230000,1,500009,31,2,2
510056,대구>수성구,27260000,1,500009,26,2,2
510057,대구>달서구,27290000,1,500009,24,2,2
510058,대구>달성군,27710000,1,500009,12,2,2
510059,대구>군위군,27720000,1,500009,8,2,2
510061,인천>중구,28110000,1,500010,52,2,2
510062,인천>동구,28140000,1,500010,7,2,2
510063,인천>남구,28170000,1,500010,7,2,2
510064,인천>미추홀구,28177000,1,500010,7,2,2
